,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,centroid_lat,centroid_lon,city,avg_d_speed_mbps,avg_u_speed_mbps
62,21176,2570,15,19,1,31.2996748407702,30.747985839843757,Disūq,21.176,2.57
63,14851,2162,9,3,2,31.2902869757706,30.75897216796875,Disūq,14.851,2.162
64,9526,11584,20,1,1,31.285592692646244,30.75897216796875,Disūq,9.526,11.584
65,9142,1691,15,5,2,31.28089817579865,30.75897216796875,Disūq,9.142,1.691
66,6598,1990,120,2,2,31.271508441013246,30.588684082031254,Disūq,6.598,1.99
67,3252,398,29,8,1,31.262117771573557,30.59417724609375,Disūq,3.252,0.398
68,11574,2103,20,6,3,31.2527261676388,30.60516357421875,Disūq,11.574,2.103
69,25343,4608,10,6,1,31.248030015285604,30.621643066406246,Disūq,25.343,4.608
70,9685,883,35,21,8,31.27620342524765,30.638122558593743,Disūq,9.685,0.883
71,13515,669,19,5,1,31.271508441013246,30.632629394531246,Disūq,13.515,0.669
72,2229,75,25,1,1,31.27620342524765,30.64361572265625,Disūq,2.229,0.075
73,4045,445,26,2,1,31.27620342524765,30.64910888671875,Disūq,4.045,0.445
74,902,308,113,3,1,31.27620342524765,30.65460205078125,Disūq,0.902,0.308
75,13083,2873,16,3,2,31.2292430704323,30.588684082031254,Disūq,13.083,2.873
76,24315,1456,10,2,1,31.238637009907144,30.621643066406254,Disūq,24.315,1.456
77,10685,1268,23,11,3,31.2245457504586,30.621643066406246,Disūq,10.685,1.268
78,1835,388,51,1,1,31.219848197020653,30.610656738281254,Disūq,1.835,0.388
79,24886,4865,11,1,1,31.21515041013845,30.627136230468743,Disūq,24.886,4.865
80,2731,2589,146,2,1,31.233940156921804,30.64910888671875,Disūq,2.731,2.589
81,1366,142,148,1,1,31.2292430704323,30.643615722656246,Disūq,1.366,0.142
82,4205,305,99,1,1,31.2292430704323,30.64910888671875,Disūq,4.205,0.305
83,7493,751,8,1,1,31.238637009907144,30.65460205078125,Disūq,7.493,0.751
84,4521,1937,54,30,4,31.233940156921804,30.660095214843757,Disūq,4.521,1.937
85,30174,3599,7,2,1,31.219848197020653,30.67108154296875,Disūq,30.174,3.599
86,8148,1389,27,1,1,31.266813223115246,30.676574707031254,Disūq,8.148,1.389
87,32392,11884,7,3,2,31.266813223115246,30.682067871093743,Disūq,32.392,11.884
88,28568,4304,5,4,3,31.262117771573557,30.67657470703125,Disūq,28.568,4.304
89,12695,748,91,14,3,31.262117771573557,30.68206787109375,Disūq,12.695,0.748
90,11868,1076,28,5,3,31.266813223115246,30.687561035156254,Disūq,11.868,1.076
91,8449,1817,40,59,6,31.271508441013246,30.71502685546875,Disūq,8.449,1.817
92,15485,2633,15,4,2,31.2527261676388,30.69854736328125,Disūq,15.485,2.633
93,1005,774,20,2,1,31.2527261676388,30.709533691406246,Disūq,1.005,0.774
94,10455,860,25,9,1,31.2527261676388,30.71502685546875,Disūq,10.455,0.86
95,5164,866,21,3,1,31.248030015285604,30.70953369140625,Disūq,5.164,0.866
96,4134,612,123,3,1,31.271508441013246,30.72601318359375,Disūq,4.134,0.612
97,5720,682,15,2,1,31.27620342524765,30.747985839843743,Disūq,5.72,0.682
98,6310,908,25,4,2,31.27620342524765,30.753479003906246,Disūq,6.31,0.908
99,4697,8285,168,37,2,31.262117771573557,30.753479003906246,Disūq,4.697,8.285
100,4353,11010,26,1,1,31.2527261676388,30.720520019531254,Disūq,4.353,11.01
101,6054,7456,18,1,1,31.25742208640809,30.758972167968757,Disūq,6.054,7.456
102,6238,7058,19,1,1,31.2527261676388,30.753479003906254,Disūq,6.238,7.058
103,6067,8035,28,1,1,31.248030015285604,30.75897216796875,Disūq,6.067,8.035
104,775,121,80,1,1,31.2292430704323,30.715026855468743,Disūq,0.775,0.121
105,18399,2424,16,17,8,31.219848197020653,30.676574707031246,Disūq,18.399,2.424
106,10614,1472,37,39,9,31.219848197020653,30.68206787109375,Disūq,10.614,1.472
107,12303,2068,31,23,3,31.21515041013845,30.68206787109375,Disūq,12.303,2.068
108,9127,1324,10,1,1,31.210452389832,30.69305419921875,Disūq,9.127,1.324
109,23503,4279,23,10,5,31.21515041013845,30.698547363281246,Disūq,23.503,4.279
110,23480,3887,9,11,2,31.21515041013845,30.70404052734375,Disūq,23.48,3.887
111,7441,814,27,1,1,31.210452389832,30.70404052734375,Disūq,7.441,0.814
112,10521,576,9,2,2,31.210452389832,30.709533691406254,Disūq,10.521,0.576
113,17025,3506,14,7,4,31.233940156921804,30.742492675781254,Disūq,17.025,3.506
114,3650,2864,17,5,1,31.238637009907144,30.75347900390625,Disūq,3.65,2.864
115,8372,2383,18,183,2,31.233940156921804,30.75897216796875,Disūq,8.372,2.383
116,7872,500,64,1,1,31.21515041013845,30.72052001953125,Disūq,7.872,0.5
117,862,713,222,4,1,31.210452389832,30.72052001953125,Disūq,0.862,0.713
118,395,169,457,2,1,31.351291378540505,30.769958496093743,Disūq,0.395,0.169
119,2902,505,18,1,1,31.351291378540505,30.80291748046875,Disūq,2.902,0.505
120,23507,3077,19,13,3,31.34660013562405,30.802917480468757,Disūq,23.507,3.077
121,17395,3294,10,6,1,31.34190865872655,30.797424316406254,Disūq,17.395,3.294
122,16872,2117,39,66,11,31.34190865872655,30.802917480468757,Disūq,16.872,2.117
123,17804,2538,19,11,8,31.3372169478678,30.802917480468757,Disūq,17.804,2.538
124,31743,718,19,4,1,31.318447765216497,30.77545166015625,Disūq,31.743,0.718
125,24956,4818,6,1,1,31.332525003067644,30.78643798828125,Disūq,24.956,4.818
126,12416,1997,18,10,3,31.332525003067644,30.80291748046875,Disūq,12.416,1.997
127,28338,2710,16,4,1,31.318447765216497,30.802917480468743,Disūq,28.338,2.71
128,10906,3935,7,1,1,31.351291378540505,30.80841064453125,Disūq,10.906,3.935
129,8328,819,31,5,2,31.34660013562405,30.80841064453125,Disūq,8.328,0.819
130,11419,1488,31,34,6,31.34190865872655,30.808410644531246,Disūq,11.419,1.488
131,13582,2542,19,9,5,31.3372169478678,30.808410644531243,Disūq,13.582,2.542
132,17135,2297,22,13,1,31.332525003067644,30.808410644531254,Disūq,17.135,2.297
133,27852,2652,25,1,1,31.32783282434585,30.81939697265625,Kafr ash Shaykh,27.852,2.652
134,6642,670,25,4,1,31.318447765216497,30.83038330078125,Kafr ash Shaykh,6.642,0.67
135,4442,1604,39,2,2,31.3137548848486,30.77545166015625,Disūq,4.442,1.604
136,28192,4798,7,1,1,31.3137548848486,30.78094482421875,Disūq,28.192,4.798
137,512,84,55,1,1,31.30436842260565,30.775451660156254,Disūq,0.512,0.084
138,6567,463,36,1,1,31.3090617706384,30.79193115234375,Disūq,6.567,0.463
139,18821,924,8,1,1,31.30436842260565,30.791931152343743,Disūq,18.821,0.924
140,15130,1619,16,8,2,31.2996748407702,30.791931152343743,Disūq,15.13,1.619
141,13161,1174,11,10,3,31.30436842260565,30.797424316406246,Disūq,13.161,1.174
142,15284,1757,29,32,5,31.2902869757706,30.764465332031254,Disūq,15.284,1.757
143,10896,1596,20,23,3,31.285592692646244,30.76446533203125,Disūq,10.896,1.596
144,14447,1409,19,5,3,31.29498102515189,30.79193115234375,Disūq,14.447,1.409
145,1785,261,40,1,1,31.2902869757706,30.791931152343757,Disūq,1.785,0.261
146,11008,883,37,3,2,31.2902869757706,30.79742431640625,Disūq,11.008,0.883
147,14276,1686,22,1,1,31.285592692646244,30.791931152343757,Disūq,14.276,1.686
148,42943,33612,20,1,1,31.28089817579865,30.79193115234375,Disūq,42.943,33.612
149,12180,561,30,1,1,31.2996748407702,30.82489013671875,Kafr ash Shaykh,12.18,0.561
150,4826,5158,10,1,1,31.2996748407702,30.83038330078125,Kafr ash Shaykh,4.826,5.158
151,1507,728,40,4,1,31.285592692646244,30.819396972656254,Kafr ash Shaykh,1.507,0.728
152,10384,790,20,3,1,31.285592692646244,30.824890136718743,Kafr ash Shaykh,10.384,0.79
153,10156,467,264,4,1,31.28089817579865,30.824890136718743,Kafr ash Shaykh,10.156,0.467
154,3045,4245,92,6,1,31.2902869757706,30.83038330078125,Kafr ash Shaykh,3.045,4.245
155,10967,1069,19,1,1,31.285592692646244,30.83038330078125,Kafr ash Shaykh,10.967,1.069
156,16434,1803,22,7,1,31.3372169478678,30.874328613281254,Kafr ash Shaykh,16.434,1.803
157,582,442,36,16,1,31.332525003067644,30.852355957031246,Kafr ash Shaykh,0.582,0.442
158,15092,1363,23,1,1,31.332525003067644,30.868835449218757,Kafr ash Shaykh,15.092,1.363
159,2588,1442,57,5,2,31.32783282434585,30.86334228515625,Kafr ash Shaykh,2.588,1.442
160,19361,2329,22,6,3,31.332525003067644,30.874328613281246,Kafr ash Shaykh,19.361,2.329
161,8037,1143,50,13,2,31.32783282434585,30.87432861328125,Kafr ash Shaykh,8.037,1.143
162,16405,4170,13,1,1,31.332525003067644,30.89080810546875,Kafr ash Shaykh,16.405,4.17
163,8144,1681,17,1,1,31.351291378540505,30.907287597656254,Kafr ash Shaykh,8.144,1.681
164,7404,2878,23,28,1,31.34190865872655,30.901794433593757,Kafr ash Shaykh,7.404,2.878
165,17608,4162,16,12,2,31.34190865872655,30.91278076171875,Kafr ash Shaykh,17.608,4.162
166,12240,3938,20,67,1,31.3372169478678,30.912780761718743,Kafr ash Shaykh,12.24,3.938
167,3087,2326,9,1,1,31.32783282434585,30.91278076171875,Kafr ash Shaykh,3.087,2.326
168,15550,3809,9,2,1,31.323140411722203,30.90728759765625,Kafr ash Shaykh,15.55,3.809
169,32993,6918,9,18,3,31.323140411722203,30.91278076171875,Kafr ash Shaykh,32.993,6.918
170,12691,2862,22,2,1,31.32783282434585,30.92376708984375,Kafr ash Shaykh,12.691,2.862
171,3664,3753,143,1,1,31.332525003067644,30.929260253906254,Kafr ash Shaykh,3.664,3.753
172,7806,2300,16,1,1,31.323140411722203,30.91827392578125,Kafr ash Shaykh,7.806,2.3
173,14325,890,7,1,1,31.318447765216497,30.934753417968743,Kafr ash Shaykh,14.325,0.89
174,4563,1794,23,3,2,31.30436842260565,30.857849121093743,Kafr ash Shaykh,4.563,1.794
175,3722,568,25,2,2,31.2996748407702,30.85235595703125,Kafr ash Shaykh,3.722,0.568
176,24566,3981,16,3,1,31.3090617706384,30.88531494140625,Kafr ash Shaykh,24.566,3.981
177,25517,3188,7,9,1,31.30436842260565,30.87982177734375,Kafr ash Shaykh,25.517,3.188
178,13166,1377,20,24,2,31.30436842260565,30.885314941406254,Kafr ash Shaykh,13.166,1.377
179,9300,3643,22,2,1,31.29498102515189,30.86334228515625,Kafr ash Shaykh,9.3,3.643
180,11904,242,27,1,1,31.285592692646244,30.890808105468743,Kafr ash Shaykh,11.904,0.242
181,7489,434,24,3,1,31.28089817579865,30.89080810546875,Kafr ash Shaykh,7.489,0.434
182,17257,827,17,1,1,31.3137548848486,30.89630126953125,Kafr ash Shaykh,17.257,0.827
183,5154,1067,40,103,2,31.28089817579865,30.90179443359375,Kafr ash Shaykh,5.154,1.067
184,27479,4641,17,1,1,31.29498102515189,30.934753417968743,Kafr ash Shaykh,27.479,4.641
185,10874,881,33,39,4,31.27620342524765,30.769958496093757,Disūq,10.874,0.881
186,9658,2678,12,4,2,31.27620342524765,30.775451660156246,Disūq,9.658,2.678
187,18353,1853,24,9,3,31.27620342524765,30.780944824218743,Disūq,18.353,1.853
188,19306,2985,16,59,22,31.271508441013246,30.780944824218757,Disūq,19.306,2.985
189,7169,1524,18,6,1,31.262117771573557,30.76446533203125,Disūq,7.169,1.524
190,12879,1782,18,12,6,31.266813223115246,30.780944824218757,Disūq,12.879,1.782
191,15810,2012,20,14,4,31.27620342524765,30.78643798828125,Disūq,15.81,2.012
192,17811,461,6,1,1,31.27620342524765,30.79193115234375,Disūq,17.811,0.461
193,14728,5018,40,113,21,31.271508441013246,30.78643798828125,Disūq,14.728,5.018
194,17332,2214,19,67,12,31.271508441013246,30.791931152343743,Disūq,17.332,2.214
195,11378,1411,15,14,3,31.271508441013246,30.797424316406254,Disūq,11.378,1.411
196,13173,3335,10,8,4,31.271508441013246,30.802917480468743,Disūq,13.173,3.335
197,22873,6248,15,20,7,31.266813223115246,30.786437988281243,Disūq,22.873,6.248
198,15448,2974,12,5,3,31.266813223115246,30.791931152343757,Disūq,15.448,2.974
199,35115,12302,12,7,2,31.266813223115246,30.802917480468757,Disūq,35.115,12.302
200,11017,3017,9,1,1,31.248030015285604,30.769958496093743,Disūq,11.017,3.017
201,17204,1591,12,3,1,31.248030015285604,30.78094482421875,Disūq,17.204,1.591
202,10229,1188,25,2,1,31.25742208640809,30.78643798828125,Disūq,10.229,1.188
203,18512,3714,11,4,3,31.2527261676388,30.79193115234375,Disūq,18.512,3.714
204,5142,708,28,1,1,31.271508441013246,30.819396972656254,Kafr ash Shaykh,5.142,0.708
205,3478,631,30,1,1,31.266813223115246,30.808410644531246,Kafr ash Shaykh,3.478,0.631
206,5350,438,35,3,1,31.262117771573557,30.808410644531246,Kafr ash Shaykh,5.35,0.438
207,2217,432,83,11,1,31.262117771573557,30.813903808593743,Kafr ash Shaykh,2.217,0.432
208,18800,2630,15,3,3,31.266813223115246,30.81939697265625,Kafr ash Shaykh,18.8,2.63
209,7323,3469,16,5,2,31.266813223115246,30.824890136718743,Kafr ash Shaykh,7.323,3.469
210,10372,2500,15,6,2,31.262117771573557,30.81939697265625,Kafr ash Shaykh,10.372,2.5
211,11297,2479,9,1,1,31.27620342524765,30.846862792968743,Kafr ash Shaykh,11.297,2.479
212,5040,1269,102,8,2,31.262117771573557,30.83587646484375,Kafr ash Shaykh,5.04,1.269
213,3292,571,44,3,2,31.262117771573557,30.841369628906254,Kafr ash Shaykh,3.292,0.571
214,32081,1741,249,1,1,31.25742208640809,30.813903808593743,Kafr ash Shaykh,32.081,1.741
215,5972,745,20,1,1,31.2527261676388,30.81390380859375,Kafr ash Shaykh,5.972,0.745
216,21650,3270,9,3,3,31.25742208640809,30.819396972656254,Kafr ash Shaykh,21.65,3.27
217,15717,656,30,1,1,31.2527261676388,30.82489013671875,Kafr ash Shaykh,15.717,0.656
218,9087,1245,23,6,3,31.2527261676388,30.84686279296875,Kafr ash Shaykh,9.087,1.245
219,3067,443,1498,1,1,31.248030015285604,30.83587646484375,Kafr ash Shaykh,3.067,0.443
220,10500,637,9,2,1,31.243333629368408,30.83587646484375,Kafr ash Shaykh,10.5,0.637
221,29056,4727,15,3,2,31.243333629368408,30.84136962890625,Kafr ash Shaykh,29.056,4.727
222,6360,10202,22,2,1,31.238637009907144,30.76446533203125,Disūq,6.36,10.202
223,13532,497,195,3,1,31.21515041013845,30.769958496093743,Disūq,13.532,0.497
224,7694,713,29,2,1,31.210452389832,30.76446533203125,Disūq,7.694,0.713
225,4700,1670,21,7,2,31.210452389832,30.76995849609375,Disūq,4.7,1.67
226,12872,1546,23,2,2,31.2057541361213,30.76995849609375,Disūq,12.872,1.546
227,10716,3154,13,4,2,31.210452389832,30.775451660156246,Disūq,10.716,3.154
228,1190,129,37,6,1,31.210452389832,30.780944824218757,Disūq,1.19,0.129
229,32890,3514,6,1,1,31.2057541361213,30.775451660156257,Disūq,32.89,3.514
230,12147,775,11,1,1,31.2292430704323,30.81939697265625,Kafr ash Shaykh,12.147,0.775
231,13404,841,29,25,3,31.2245457504586,30.81939697265625,Kafr ash Shaykh,13.404,0.841
232,11848,784,16,2,1,31.238637009907144,30.835876464843743,Kafr ash Shaykh,11.848,0.784
233,6762,1275,20,10,2,31.210452389832,30.835876464843757,Kafr ash Shaykh,6.762,1.275
234,10088,1464,20,5,2,31.2057541361213,30.83587646484375,Kafr ash Shaykh,10.088,1.464
235,11743,963,25,2,1,31.2057541361213,30.846862792968757,Kafr ash Shaykh,11.743,0.963
236,15676,1915,10,5,1,31.266813223115246,30.868835449218757,Kafr ash Shaykh,15.676,1.915
237,15012,562,368,2,1,31.262117771573557,30.863342285156246,Kafr ash Shaykh,15.012,0.562
238,6465,587,24,1,1,31.262117771573557,30.868835449218743,Kafr ash Shaykh,6.465,0.587
239,10984,679,25,2,1,31.271508441013246,30.874328613281246,Kafr ash Shaykh,10.984,0.679
240,5540,694,24,1,1,31.271508441013246,30.87982177734375,Kafr ash Shaykh,5.54,0.694
241,15557,1226,25,67,1,31.266813223115246,30.87432861328125,Kafr ash Shaykh,15.557,1.226
242,8743,1315,36,44,9,31.262117771573557,30.87432861328125,Kafr ash Shaykh,8.743,1.315
243,4270,710,140,6,1,31.2527261676388,30.852355957031254,Kafr ash Shaykh,4.27,0.71
244,6072,1227,25,9,1,31.2527261676388,30.857849121093743,Kafr ash Shaykh,6.072,1.227
245,445,123,55,1,1,31.243333629368408,30.857849121093757,Kafr ash Shaykh,0.445,0.123
246,11397,172,26,1,1,31.243333629368408,30.89080810546875,Kafr ash Shaykh,11.397,0.172
247,9007,1647,21,1,1,31.27620342524765,30.89630126953125,Kafr ash Shaykh,9.007,1.647
248,10510,250,25,1,1,31.271508441013246,30.89630126953125,Kafr ash Shaykh,10.51,0.25
249,10540,413,58,2,1,31.266813223115246,30.896301269531254,Kafr ash Shaykh,10.54,0.413
250,9218,305,75,9,1,31.266813223115246,30.901794433593743,Kafr ash Shaykh,9.218,0.305
251,10636,408,26,1,1,31.262117771573557,30.896301269531254,Kafr ash Shaykh,10.636,0.408
252,11729,448,27,3,1,31.262117771573557,30.90179443359375,Kafr ash Shaykh,11.729,0.448
253,10649,472,26,2,1,31.266813223115246,30.907287597656254,Kafr ash Shaykh,10.649,0.472
254,9682,383,25,12,1,31.262117771573557,30.90728759765625,Kafr ash Shaykh,9.682,0.383
255,22667,3834,7,1,1,31.27620342524765,30.93475341796875,Kafr ash Shaykh,22.667,3.834
256,22710,2319,7,1,1,31.262117771573557,30.918273925781246,Kafr ash Shaykh,22.71,2.319
257,7517,716,22,1,1,31.262117771573557,30.923767089843743,Kafr ash Shaykh,7.517,0.716
258,5560,2113,94,3,1,31.262117771573557,30.929260253906246,Kafr ash Shaykh,5.56,2.113
259,10061,146,26,1,1,31.25742208640809,30.896301269531246,Kafr ash Shaykh,10.061,0.146
260,1137,504,74,1,1,31.25742208640809,30.90179443359375,Kafr ash Shaykh,1.137,0.504
261,10464,450,26,2,1,31.2527261676388,30.89630126953125,Kafr ash Shaykh,10.464,0.45
262,11298,547,41,1,1,31.2527261676388,30.90179443359375,Kafr ash Shaykh,11.298,0.547
263,8706,356,25,2,1,31.25742208640809,30.90728759765625,Kafr ash Shaykh,8.706,0.356
264,11872,629,21,3,2,31.25742208640809,30.91278076171875,Kafr ash Shaykh,11.872,0.629
265,8849,463,27,1,1,31.2527261676388,30.91278076171875,Kafr ash Shaykh,8.849,0.463
